date,KPC4,KPB8,dayofweek,quarter,dayofyear,dayofmonth,weekofyear,KPC4_lag_1,KPB8_lag_1,KPC4_lag_3,KPB8_lag_3,KPC4_lag_6,KPB8_lag_6,KPC4_lag_12,KPB8_lag_12,KPC4_window_3_mean,KPC4_window_3_std,KPB8_window_3_mean,KPB8_window_3_std,KPC4_window_6_mean,KPC4_window_6_std,KPB8_window_6_mean,KPB8_window_6_std
2009-01-01,21.1,30.7,3,1,1,1,1,20.9,33.0,19.6,28.6,18.5,26.0,15.3,22.5,20.1,0.6999999999999896,30.900000000000002,2.206807649071375,19.633333333333333,0.79162280580253,28.95,2.622022120425366
2009-02-01,21.6,29.2,6,1,32,1,5,21.1,30.7,19.8,31.1,19.2,27.1,16.2,22.5,20.6,0.6999999999999896,31.599999999999998,1.2288205727444181,20.066666666666666,0.7580677190506584,29.73333333333333,2.2384518459566176
2009-03-01,21.6,31.2,6,1,60,1,9,21.6,29.2,20.9,33.0,19.8,27.9,16.6,22.6,21.2,0.36055512754637986,30.96666666666667,1.9139836293273962,20.46666666666667,0.8382521498133267,30.083333333333332,1.8798049544212259
2009-04-01,22.3,30.5,2,2,91,1,14,21.6,31.2,21.1,30.7,19.6,28.6,17.4,23.6,21.433333333333337,0.2886751345947883,30.366666666666664,1.0408329997330448,20.766666666666666,0.8733078876700135,30.633333333333336,1.5705625319186058
2009-05-01,22.5,33.3,4,2,121,1,18,22.3,30.5,21.6,29.2,19.8,31.1,17.7,24.1,21.833333333333332,0.4041451884327199,30.299999999999997,1.0148891565092004,21.21666666666667,0.8471520918150741,30.95,1.2340988615179558
2009-06-01,22.8,32.1,0,2,152,1,23,22.5,33.3,21.6,31.2,20.9,33.0,18.5,25.4,22.133333333333336,0.47258156262524353,31.666666666666668,1.4571661996262644,21.666666666666668,0.6345602151621627,31.316666666666663,1.5689699381016127
2009-07-01,24.2,34.0,2,3,182,1,27,22.8,32.1,22.3,30.5,21.1,30.7,18.5,26.0,22.53333333333333,0.25166114784231913,31.966666666666665,1.404753833713666,21.983333333333334,0.6493586579592554,31.166666666666668,1.4109098719147792
2009-08-01,24.2,33.7,5,3,213,1,31,24.2,34.0,22.5,33.3,21.6,29.2,19.2,27.1,23.166666666666668,0.9073771725877309,33.13333333333333,0.9609023536932375,22.5,0.9633275663033671,31.71666666666667,1.785963792092823
2009-09-01,24.1,33.3,1,3,244,1,36,24.2,33.7,22.8,32.1,21.6,31.2,19.8,27.9,23.733333333333334,0.8082903768654532,33.266666666666666,1.0214368964029044,22.933333333333334,1.0576703960434126,32.46666666666666,1.4264174237110876
2009-10-01,25.8,34.3,3,4,274,1,40,24.1,33.3,24.2,34.0,22.3,30.5,19.6,28.6,24.166666666666668,0.05773502691859912,33.666666666666664,0.35118845842820107,23.350000000000005,0.9093954035511513,32.81666666666667,1.3060117406312148
2009-11-01,26.6,32.8,6,4,305,1,44,25.8,34.3,24.2,33.7,22.5,33.3,19.8,31.1,24.7,0.9539392014169215,33.766666666666666,0.5033222956845526,23.933333333333334,1.182652386234698,33.449999999999996,0.7687652437512474
2009-12-01,25.8,33.4,1,4,335,1,49,26.6,32.8,24.1,33.3,22.8,32.1,20.9,33.0,25.5,1.2767145334803505,33.46666666666666,0.7637626158258766,24.616666666666664,1.3600245095830514,33.36666666666667,0.8140434058860627
2010-01-01,24.7,36.6,4,1,1,1,53,25.8,33.4,25.8,34.3,24.2,34.0,21.1,30.7,26.066666666666666,0.46188021535164275,33.5,0.7549834435269756,25.116666666666664,1.0815112882751692,33.583333333333336,0.5344779384283188
2010-02-01,25.7,42.4,0,1,32,1,5,24.7,36.6,26.6,32.8,24.2,33.7,21.6,29.2,25.700000000000003,0.9539392014169196,34.26666666666666,2.042873792805899,25.2,1.0139033484509006,34.016666666666666,1.3585531519475398
2010-03-01,25.5,40.7,0,1,60,1,9,25.7,42.4,25.8,33.4,24.1,33.3,21.6,31.2,25.399999999999995,0.6082762530297816,37.46666666666667,4.56216322958013,25.450000000000003,0.8961026726887642,35.46666666666667,3.654950980063428
2010-04-01,26.5,44.6,3,2,91,1,13,25.5,40.7,24.7,36.6,25.8,34.3,22.3,30.5,25.3,0.5291502622128721,39.9,2.9816103031750365,25.683333333333337,0.6112828041640077,36.699999999999996,4.008989897717375
